labelling_period	chamber	cycle	day_night	CH4_slope	CH4_intercept	delta_sec	Temp_kelvin	R_squared	combined_name	n_total	n_CH4	CH4_mass_grams	flux	Water	V_chamber_m3	A_chamber_m2	n_total_in_chamber	n_ch4_in_chamber	ch4_micrograms_per_second_in_chamber	ch4_micrograms_per_second_per_m2	ch4_micrograms_per_day_per_m2	ch4_micrograms_per_second_per_m2
L3	P02	8	Night	-2.91E-07	1.998440842	33600	283	0.121264528	L3_P02_8	2.14	2.14E-06	3.43E-05	1.71E-11	H	0.168215138	0.12939626	7.243710215	-2.11E-12	-3.38E-05	-0.0003	-22.5435	-0.00026092
L4	P02	5	Night	-5.96E-07	1.86302944	36002	281	0.118027848	L4_P02_5	5.61	5.61E-06	9.00E-05	4.19E-11	H	0.12939626	0.12939626	5.611743747	-3.35E-12	-5.35E-05	-0.0004	-35.7411	-0.00041367
L3	P02	18	Night	3.63E-07	1.971529385	33606	280	0.103094175	L3_P02_18	2.16	2.16E-06	3.46E-05	1.73E-11	H	0.168215138	0.12939626	7.321321396	2.66E-12	4.25E-05	0.0003	28.3668	0.000328319
L1	P02	1	Night	2.42E-07	1.902250299	38404	276	0.075724631	L1_P02_1	2.2	2.20E-06	3.53E-05	1.54E-11	H	0.168215138	0.12939626	7.427427503	1.80E-12	2.88E-05	0.0002	19.2266	0.00022253
L2	P02	5	Night	1.54E-07	1.968407062	28800	281	0.073931935	L2_P02_5	2.16	2.16E-06	3.46E-05	2.02E-11	H	0.168215138	0.12939626	7.295266872	1.13E-12	1.80E-05	0.0001	12.0316	0.000139255
L1	P02	5	Night	2.39E-07	1.933264164	28801	271	0.058531308	L1_P02_5	2.24	2.24E-06	3.59E-05	2.09E-11	H	0.168215138	0.12939626	7.564464911	1.81E-12	2.90E-05	0.0002	19.3419	0.000223865
L3	P02	16	Night	1.75E-07	1.987539796	33601	282	0.05306679	L3_P02_16	2.15	2.15E-06	3.45E-05	1.72E-11	H	0.168215138	0.12939626	7.269397131	1.27E-12	2.03E-05	0.0002	13.5794	0.000157169
L4	P02	14	Day	-2.48E-06	2.039399155	31502	302	0.033635596	L4_P02_14	5.22	5.22E-06	8.37E-05	4.45E-11	H	0.12939626	0.12939626	5.221523156	-1.30E-11	-2.07E-04	-0.0016	-138.3798	-0.001601617
L3	P02	17	Day	2.39E-07	1.973368022	28801	294	0.03140484	L3_P02_17	2.06	2.06E-06	3.30E-05	1.92E-11	H	0.168215138	0.12939626	6.972687044	1.67E-12	2.67E-05	0.0002	17.7966	0.00020598
L3	P02	23	Day	-2.64E-07	1.994013397	33605	304	0.015202822	L3_P02_23	1.99	1.99E-06	3.19E-05	1.59E-11	H	0.168215138	0.12939626	6.743322339	-1.78E-12	-2.85E-05	-0.0002	-19.0382	-0.00022035
L3	P02	12	Night	8.53E-08	2.001281421	33600	283	0.005610481	L3_P02_12	2.14	2.14E-06	3.43E-05	1.71E-11	H	0.168215138	0.12939626	7.243710215	6.18E-13	9.88E-06	0.0001	6.5999	7.63882E-05
L3	P02	15	Day	-6.02E-08	1.974142919	28802	295	0.00194935	L3_P02_15	2.05	2.05E-06	3.29E-05	1.91E-11	H	0.168215138	0.12939626	6.949050817	-4.18E-13	-6.69E-06	-0.0001	-4.4656	-5.16851E-05
L2	P02	9	Night	3.34E-08	1.961769401	28803	279	0.001244397	L2_P02_9	2.17	2.17E-06	3.48E-05	2.03E-11	H	0.168215138	0.12939626	7.347562691	2.45E-13	3.93E-06	0.0000	2.6209	3.03346E-05
L2	P03	10	Day	6.10E-06	1.960084486	4800	288	1	L2_P03_10	2.1	2.10E-06	3.37E-05	1.18E-10	F	0.168215138	0.12939626	7.117951357	4.34E-11	6.94E-04	0.0054	463.5632	0.005365315
L3	P03	2	Day	-6.70E-06	2.140590527	24000	300	0.971477279	L3_P03_2	2.02	2.02E-06	3.24E-05	2.26E-11	F	0.168215138	0.12939626	6.833233303	-4.58E-11	-7.32E-04	-0.0057	-488.8060	-0.005657477
L1	P03	5	Night	-7.00E-06	2.190522241	28802	271	0.918178506	L1_P03_5	2.24	2.24E-06	3.59E-05	2.09E-11	F	0.168215138	0.12939626	7.564464911	-5.30E-11	-8.48E-04	-0.0066	-565.9430	-0.006550266
L3	P03	1	Night	1.46E-06	2.046483618	33599	282	0.83743907	L3_P03_1	2.15	2.15E-06	3.45E-05	1.72E-11	F	0.168215138	0.12939626	7.269397131	1.06E-11	1.70E-04	0.0013	113.4160	0.001312686
L1	P03	7	Night	-5.04E-06	2.193882732	43209	271	0.835973851	L1_P03_7	2.24	2.24E-06	3.59E-05	1.39E-11	F	0.168215138	0.12939626	7.564464911	-3.81E-11	-6.10E-04	-0.0047	-407.0306	-0.004711002
L3	P03	10	Day	-1.49E-06	2.001975297	33598	297	0.828578454	L3_P03_10	2.04	2.04E-06	3.27E-05	1.63E-11	F	0.168215138	0.12939626	6.902255862	-1.03E-11	-1.65E-04	-0.0013	-109.9566	-0.001272645
L2	P03	0	Day	-1.08E-06	1.987696026	38407	305	0.790306362	L2_P03_0	1.99	1.99E-06	3.19E-05	1.39E-11	F	0.168215138	0.12939626	6.721213085	-7.28E-12	-1.16E-04	-0.0009	-77.7500	-0.000899884
L2	P03	8	Day	-1.44E-06	1.98865345	38403	302	0.765089449	L2_P03_8	2.01	2.01E-06	3.22E-05	1.41E-11	F	0.168215138	0.12939626	6.787980102	-9.74E-12	-1.56E-04	-0.0012	-104.0853	-0.001204691
L1	P03	2	Day	6.79E-06	2.158337191	23997	295	0.763359214	L1_P03_2	2.05	2.05E-06	3.29E-05	2.30E-11	F	0.168215138	0.12939626	6.949050817	4.72E-11	7.55E-04	0.0058	503.8526	0.005831627
L2	P03	4	Day	-1.48E-06	1.962551675	38400	305	0.734900648	L2_P03_4	1.99	1.99E-06	3.19E-05	1.39E-11	F	0.168215138	0.12939626	6.721213085	-9.97E-12	-1.59E-04	-0.0012	-106.4981	-0.001232617
L2	P03	6	Day	-2.27E-06	1.977764386	38400	310	0.730839448	L2_P03_6	1.96	1.96E-06	3.14E-05	1.37E-11	F	0.168215138	0.12939626	6.612806422	-1.50E-11	-2.40E-04	-0.0019	-160.2769	-0.001855056
L3	P03	25	Night	1.35E-06	1.966595388	33597	278	0.724272015	L3_P03_25	2.18	2.18E-06	3.50E-05	1.74E-11	F	0.168215138	0.12939626	7.373992773	9.92E-12	1.59E-04	0.0012	105.9624	0.001226417
L3	P03	14	Day	1.35E-06	1.976839657	19200	286	0.722449357	L3_P03_14	2.12	2.12E-06	3.40E-05	2.97E-11	F	0.168215138	0.12939626	7.167727241	9.68E-12	1.55E-04	0.0012	103.4405	0.001197228
L3	P03	15	Night	8.99E-07	1.983695179	33599	281	0.705795381	L3_P03_15	2.16	2.16E-06	3.46E-05	1.73E-11	F	0.168215138	0.12939626	7.295266872	6.56E-12	1.05E-04	0.0008	70.0455	0.000810712
L3	P03	11	Night	1.29E-06	1.957401782	33601	274	0.700222018	L3_P03_11	2.21	2.21E-06	3.54E-05	1.77E-11	F	0.168215138	0.12939626	7.481642303	9.68E-12	1.55E-04	0.0012	103.3639	0.001196341
L3	P03	20	Day	-1.06E-06	1.99636664	33597	291	0.660288856	L3_P03_20	2.08	2.08E-06	3.34E-05	1.66E-11	F	0.168215138	0.12939626	7.044570416	-7.45E-12	-1.19E-04	-0.0009	-79.6420	-0.000921782
L2	P03	3	Night	1.17E-06	1.943175582	28799	279	0.588215115	L2_P03_3	2.17	2.17E-06	3.48E-05	2.03E-11	F	0.168215138	0.12939626	7.347562691	8.60E-12	1.38E-04	0.0011	91.9264	0.001063963
L2	P03	9	Night	6.11E-07	1.95443356	28802	279	0.572181092	L2_P03_9	2.17	2.17E-06	3.48E-05	2.03E-11	F	0.168215138	0.12939626	7.347562691	4.49E-12	7.19E-05	0.0006	47.9945	0.000555492
L3	P03	8	Day	1.81E-06	2.012164786	9601	286	0.568140482	L3_P03_8	2.12	2.12E-06	3.40E-05	5.94E-11	F	0.168215138	0.12939626	7.167727241	1.29E-11	2.07E-04	0.0016	138.3378	0.001601132
L3	P03	7	Night	5.52E-07	1.97487852	33594	277	0.556885467	L3_P03_7	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	4.08E-12	6.53E-05	0.0005	43.6121	0.00050477
L1	P03	9	Night	6.72E-07	1.930491371	38398	272	0.473930392	L1_P03_9	2.23	2.23E-06	3.58E-05	1.56E-11	F	0.168215138	0.12939626	7.536654378	5.06E-12	8.10E-05	0.0006	54.0970	0.000626123
L1	P03	1	Night	-2.12E-06	1.993526514	38403	275	0.473837934	L1_P03_1	2.2	2.20E-06	3.53E-05	1.54E-11	F	0.168215138	0.12939626	7.454436331	-1.58E-11	-2.52E-04	-0.0020	-168.5687	-0.001951027
L3	P03	21	Night	8.50E-07	1.966168958	33598	280	0.454033877	L3_P03_21	2.16	2.16E-06	3.46E-05	1.73E-11	F	0.168215138	0.12939626	7.321321396	6.23E-12	9.96E-05	0.0008	66.5213	0.000769922
L2	P03	2	Day	-1.37E-06	1.984128959	38399	307	0.432809175	L2_P03_2	1.97	1.97E-06	3.16E-05	1.38E-11	F	0.168215138	0.12939626	6.677426681	-9.14E-12	-1.46E-04	-0.0011	-97.6025	-0.001129659
L3	P03	22	Day	-7.77E-07	1.981807324	33602	298	0.390767576	L3_P03_22	2.03	2.03E-06	3.26E-05	1.62E-11	F	0.168215138	0.12939626	6.879093929	-5.34E-12	-8.55E-05	-0.0007	-57.0980	-0.000660857
L3	P03	6	Day	-7.70E-07	2.001424837	28801	299	0.321800875	L3_P03_6	2.03	2.03E-06	3.26E-05	1.89E-11	F	0.168215138	0.12939626	6.856086926	-5.28E-12	-8.44E-05	-0.0007	-56.3811	-0.000652559
L3	P03	13	Night	6.73E-07	1.995213452	33600	283	0.304277528	L3_P03_13	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	4.87E-12	7.80E-05	0.0006	52.0795	0.000602772
L3	P03	3	Night	-3.54E-07	1.962336236	33605	283	0.276190198	L3_P03_3	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	-2.56E-12	-4.10E-05	-0.0003	-27.3896	-0.000317009
L3	P03	23	Night	4.25E-07	1.970583182	33601	277	0.218870979	L3_P03_23	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	3.14E-12	5.03E-05	0.0004	33.5737	0.000388584
L3	P03	19	Night	6.11E-07	1.968580387	33597	280	0.191952129	L3_P03_19	2.16	2.16E-06	3.46E-05	1.73E-11	F	0.168215138	0.12939626	7.321321396	4.47E-12	7.16E-05	0.0006	47.7872	0.000553092
L3	P03	17	Night	2.32E-07	1.984165277	33593	282	0.159650684	L3_P03_17	2.15	2.15E-06	3.45E-05	1.72E-11	F	0.168215138	0.12939626	7.269397131	1.69E-12	2.70E-05	0.0002	18.0563	0.000208985
L1	P03	8	Day	-5.05E-06	2.127408555	24003	295	0.154493653	L1_P03_8	2.05	2.05E-06	3.29E-05	2.30E-11	F	0.168215138	0.12939626	6.949050817	-3.51E-11	-5.62E-04	-0.0043	-374.9666	-0.004339891
L1	P03	6	Day	1.62E-06	1.993878177	24002	300	0.119276551	L1_P03_6	2.02	2.02E-06	3.24E-05	2.26E-11	F	0.168215138	0.12939626	6.833233303	1.10E-11	1.77E-04	0.0014	117.9209	0.001364825
L3	P03	12	Day	-5.82E-07	1.999357085	28799	298	0.09921198	L3_P03_12	2.03	2.03E-06	3.26E-05	1.89E-11	F	0.168215138	0.12939626	6.879093929	-4.00E-12	-6.40E-05	-0.0005	-42.7667	-0.000494985
L1	P03	10	Day	1.92E-06	1.958383135	28798	296	0.098086399	L1_P03_10	2.05	2.05E-06	3.29E-05	1.91E-11	F	0.168215138	0.12939626	6.925574294	1.33E-11	2.13E-04	0.0016	142.2520	0.001646435
L3	P03	4	Day	2.98E-07	1.962840191	24001	290	0.089344128	L3_P03_4	2.09	2.09E-06	3.35E-05	2.34E-11	F	0.168215138	0.12939626	7.068862038	2.11E-12	3.37E-05	0.0003	22.4938	0.000260345
L3	P03	26	Day	-5.69E-07	2.019624239	14402	303	0.077961944	L3_P03_26	2	2.00E-06	3.21E-05	3.73E-11	F	0.168215138	0.12939626	6.765577528	-3.85E-12	-6.15E-05	-0.0005	-41.0958	-0.000475646
L3	P03	9	Night	-1.61E-07	2.007806038	33601	283	0.065763782	L3_P03_9	2.14	2.14E-06	3.43E-05	1.71E-11	F	0.168215138	0.12939626	7.243710215	-1.17E-12	-1.87E-05	-0.0001	-12.4823	-0.000144471
L2	P03	1	Night	1.99E-07	1.963688356	28803	280	0.055445648	L2_P03_1	2.16	2.16E-06	3.46E-05	2.02E-11	F	0.168215138	0.12939626	7.321321396	1.46E-12	2.34E-05	0.0002	15.5942	0.000180489
L2	P03	5	Night	-3.15E-07	1.97908645	28800	281	0.043626917	L2_P03_5	2.16	2.16E-06	3.46E-05	2.02E-11	F	0.168215138	0.12939626	7.295266872	-2.30E-12	-3.68E-05	-0.0003	-24.5486	-0.000284127
L3	P03	18	Day	2.07E-07	1.963859463	28804	292	0.036808471	L3_P03_18	2.08	2.08E-06	3.34E-05	1.94E-11	F	0.168215138	0.12939626	7.020445174	1.45E-12	2.32E-05	0.0002	15.4943	0.000179332
L3	P03	16	Day	-1.90E-07	1.980712446	28794	293	0.028477022	L3_P03_16	2.07	2.07E-06	3.32E-05	1.93E-11	F	0.168215138	0.12939626	6.996484611	-1.33E-12	-2.13E-05	-0.0002	-14.2072	-0.000164435
L3	P03	5	Night	1.41E-07	1.987862225	33599	277	0.023462808	L3_P03_5	2.19	2.19E-06	3.51E-05	1.75E-11	F	0.168215138	0.12939626	7.400613686	1.05E-12	1.67E-05	0.0001	11.1760	0.000129352
L2	P03	7	Night	1.43E-07	1.978034648	28796	282	0.009810391	L2_P03_7	2.15	2.15E-06	3.45E-05	2.01E-11	F	0.168215138	0.12939626	7.269397131	1.04E-12	1.66E-05	0.0001	11.1043	0.000128522
L1	P03	0	Day	1.45E-06	2.089613892	28011	289	0.006197881	L1_P03_0	2.1	2.10E-06	3.37E-05	2.02E-11	F	0.168215138	0.12939626	7.093321768	1.03E-11	1.64E-04	0.0013	109.8231	0.001271101
L3	P03	24	Day	-1.19E-07	1.985158696	33594	304	0.004109357	L3_P03_24	1.99	1.99E-06	3.19E-05	1.59E-11	F	0.168215138	0.12939626	6.743322339	-8.05E-13	-1.29E-05	-0.0001	-8.5998	-9.95343E-05
L1	P03	11	Night	-1.75E-09	1.970794858	38400	272	1.05E-05	L1_P03_11	2.23	2.23E-06	3.58E-05	1.56E-11	F	0.168215138	0.12939626	7.536654378	-1.32E-14	-2.11E-07	0.0000	-0.1411	-1.63305E-06
L2	P04	10	Day	1.53E-06	1.96116209	4803	289	1	L2_P04_10	2.1	2.10E-06	3.37E-05	1.18E-10	H	0.168215138	0.12939626	7.093321768	1.09E-11	1.74E-04	0.0013	116.0379	0.001343031
L3	P04	8	Day	-1.15E-06	2.033121962	9602	285	1	L3_P04_8	2.13	2.13E-06	3.42E-05	5.96E-11	H	0.168215138	0.12939626	7.192877161	-8.26E-12	-1.32E-04	-0.0010	-88.2278	-0.001021155
L4	P04	9	Night	-3.11E-06	1.802015818	40505	278	0.980772299	L4_P04_9	5.68	5.68E-06	9.11E-05	3.77E-11	H	0.12939626	0.12939626	5.672302133	-1.76E-11	-2.82E-04	-0.0022	-188.2621	-0.00217896
L3	P04	2	Day	-8.71E-06	2.180365596	24007	299	0.976731789	L3_P04_2	2.03	2.03E-06	3.26E-05	2.27E-11	H	0.168215138	0.12939626	6.856086926	-5.97E-11	-9.56E-04	-0.0074	-638.1126	-0.007385563
L4	P04	13	Night	-2.27E-06	1.785687883	36004	277	0.944014111	L4_P04_13	5.7	5.70E-06	9.14E-05	4.26E-11	H	0.12939626	0.12939626	5.692779758	-1.29E-11	-2.06E-04	-0.0016	-137.8389	-0.001595358
L4	P04	0	Day	-6.47E-06	1.940514158	26996	310	0.941001961	L4_P04_0	5.09	5.09E-06	8.16E-05	5.07E-11	H	0.12939626	0.12939626	5.086774171	-3.29E-11	-5.27E-04	-0.0041	-351.7071	-0.004070684
L2	P04	0	Day	-1.47E-06	1.962420748	38399	303	0.895824315	L2_P04_0	2	2.00E-06	3.21E-05	1.40E-11	H	0.168215138	0.12939626	6.765577528	-9.95E-12	-1.59E-04	-0.0012	-106.3530	-0.001230937
L2	P04	4	Day	-2.52E-06	1.95494642	38394	304	0.879032916	L2_P04_4	1.99	1.99E-06	3.19E-05	1.39E-11	H	0.168215138	0.12939626	6.743322339	-1.70E-11	-2.72E-04	-0.0021	-181.3859	-0.002099374
L4	P04	15	Night	-3.36E-06	1.830636035	36000	278	0.876856819	L4_P04_15	5.68	5.68E-06	9.11E-05	4.24E-11	H	0.12939626	0.12939626	5.672302133	-1.90E-11	-3.05E-04	-0.0024	-203.3425	-0.002353502
L4	P04	11	Night	-1.92E-06	1.8059891	40499	275	0.870204213	L4_P04_11	5.74	5.74E-06	9.21E-05	3.81E-11	H	0.12939626	0.12939626	5.734181793	-1.10E-11	-1.76E-04	-0.0014	-117.4499	-0.001359374
L4	P04	10	Day	-6.16E-06	2.002831522	27004	300	0.86648571	L4_P04_10	5.26	5.26E-06	8.44E-05	5.24E-11	H	0.12939626	0.12939626	5.25633331	-3.24E-11	-5.18E-04	-0.0040	-346.0880	-0.004005648
L2	P04	6	Day	-3.38E-06	1.963342747	38407	310	0.864006956	L2_P04_6	1.96	1.96E-06	3.14E-05	1.37E-11	H	0.168215138	0.12939626	6.612806422	-2.24E-11	-3.58E-04	-0.0028	-238.9490	-0.002765613
L1	P04	3	Night	-5.22E-06	2.162809908	38397	271	0.859351891	L1_P04_3	2.24	2.24E-06	3.59E-05	1.57E-11	H	0.168215138	0.12939626	7.564464911	-3.95E-11	-6.32E-04	-0.0049	-421.8049	-0.004882001
L2	P04	2	Day	-1.53E-06	1.953100077	38400	306	0.857173184	L2_P04_2	1.98	1.98E-06	3.18E-05	1.39E-11	H	0.168215138	0.12939626	6.699248336	-1.02E-11	-1.64E-04	-0.0013	-109.3389	-0.001265497
L4	P04	3	Night	-1.41E-06	1.896792539	35996	283	0.837724624	L4_P04_3	5.57	5.57E-06	8.93E-05	4.16E-11	H	0.12939626	0.12939626	5.572084781	-7.86E-12	-1.26E-04	-0.0010	-83.9479	-0.000971619
L4	P04	1	Night	1.04E-06	1.780910112	40499	278	0.796703415	L4_P04_1	5.68	5.68E-06	9.11E-05	3.77E-11	H	0.12939626	0.12939626	5.672302133	5.89E-12	9.43E-05	0.0007	62.9339	0.000728402
L2	P04	7	Night	1.31E-06	1.958897182	28794	282	0.749537273	L2_P04_7	2.15	2.15E-06	3.45E-05	2.01E-11	H	0.168215138	0.12939626	7.269397131	9.52E-12	1.52E-04	0.0012	101.6717	0.001176756
L4	P04	2	Day	5.00E-06	1.808593244	27000	300	0.748179614	L4_P04_2	5.26	5.26E-06	8.44E-05	5.24E-11	H	0.12939626	0.12939626	5.25633331	2.63E-11	4.21E-04	0.0033	280.8108	0.003250125
L3	P04	1	Night	1.48E-06	2.037967427	33599	282	0.741946986	L3_P04_1	2.15	2.15E-06	3.45E-05	1.72E-11	H	0.168215138	0.12939626	7.269397131	1.08E-11	1.72E-04	0.0013	115.0680	0.001331806
L3	P04	21	Night	9.89E-07	1.962544805	33598	280	0.687487369	L3_P04_21	2.16	2.16E-06	3.46E-05	1.73E-11	H	0.168215138	0.12939626	7.321321396	7.24E-12	1.16E-04	0.0009	77.3263	0.00089498
L1	P04	1	Night	-8.45E-07	1.943108017	38402	275	0.681304517	L1_P04_1	2.2	2.20E-06	3.53E-05	1.54E-11	H	0.168215138	0.12939626	7.454436331	-6.30E-12	-1.01E-04	-0.0008	-67.2880	-0.000778797
L2	P04	8	Day	-1.70E-06	1.962574387	38405	302	0.659856718	L2_P04_8	2.01	2.01E-06	3.22E-05	1.41E-11	H	0.168215138	0.12939626	6.787980102	-1.16E-11	-1.85E-04	-0.0014	-123.4468	-0.001428782
L3	P04	11	Night	1.10E-06	1.960689512	33595	274	0.599877967	L3_P04_11	2.21	2.21E-06	3.54E-05	1.77E-11	H	0.168215138	0.12939626	7.481642303	8.22E-12	1.32E-04	0.0010	87.8285	0.001016534
L3	P04	4	Day	1.58E-06	1.941177962	24002	291	0.583662151	L3_P04_4	2.08	2.08E-06	3.34E-05	2.33E-11	H	0.168215138	0.12939626	7.044570416	1.11E-11	1.78E-04	0.0014	118.8899	0.001376041
L1	P04	5	Night	-8.31E-07	2.005827779	38396	271	0.579310688	L1_P04_5	2.24	2.24E-06	3.59E-05	1.57E-11	H	0.168215138	0.12939626	7.564464911	-6.28E-12	-1.01E-04	-0.0008	-67.1365	-0.000777043
L3	P04	10	Day	-1.24E-06	2.00768123	33600	300	0.575838696	L3_P04_10	2.02	2.02E-06	3.24E-05	1.62E-11	H	0.168215138	0.12939626	6.833233303	-8.47E-12	-1.36E-04	-0.0010	-90.5318	-0.001047822
L4	P04	7	Night	-5.04E-06	1.906226555	32402	275	0.532262379	L4_P04_7	5.74	5.74E-06	9.21E-05	4.76E-11	H	0.12939626	0.12939626	5.734181793	-2.89E-11	-4.62E-04	-0.0036	-308.7913	-0.003573973
L3	P04	15	Night	8.18E-07	1.991250782	33601	281	0.484366884	L3_P04_15	2.16	2.16E-06	3.46E-05	1.73E-11	H	0.168215138	0.12939626	7.295266872	5.97E-12	9.55E-05	0.0007	63.7450	0.000737789
L2	P04	3	Night	6.22E-07	1.952443561	28800	279	0.467093648	L2_P04_3	2.17	2.17E-06	3.48E-05	2.03E-11	H	0.168215138	0.12939626	7.347562691	4.57E-12	7.32E-05	0.0006	48.8569	0.000565474
L2	P04	5	Night	8.02E-07	1.96055593	28799	281	0.421665184	L2_P04_5	2.16	2.16E-06	3.46E-05	2.02E-11	H	0.168215138	0.12939626	7.295266872	5.85E-12	9.36E-05	0.0007	62.4879	0.000723239
L3	P04	26	Day	1.03E-06	2.016262491	14400	303	0.418458657	L3_P04_26	2	2.00E-06	3.21E-05	3.73E-11	H	0.168215138	0.12939626	6.765577528	6.99E-12	1.12E-04	0.0009	74.6712	0.00086425
L3	P04	23	Night	7.83E-07	1.962691535	33602	277	0.416571206	L3_P04_23	2.19	2.19E-06	3.51E-05	1.75E-11	H	0.168215138	0.12939626	7.400613686	5.79E-12	9.27E-05	0.0007	61.9074	0.00071652
L3	P04	24	Day	-1.16E-06	2.004241757	33595	304	0.407691493	L3_P04_24	1.99	1.99E-06	3.19E-05	1.59E-11	H	0.168215138	0.12939626	6.743322339	-7.79E-12	-1.25E-04	-0.0010	-83.2762	-0.000963845
L4	P04	8	Day	9.12E-06	1.686139505	27004	288	0.407352908	L4_P04_8	5.48	5.48E-06	8.79E-05	5.46E-11	H	0.12939626	0.12939626	5.475347198	5.00E-11	7.99E-04	0.0062	533.7544	0.006177714
L1	P04	2	Day	6.00E-06	2.00097598	28796	294	0.397025651	L1_P04_2	2.06	2.06E-06	3.30E-05	1.92E-11	H	0.168215138	0.12939626	6.972687044	4.19E-11	6.70E-04	0.0052	447.1081	0.005174862
L3	P04	25	Night	5.08E-07	1.980777131	33600	278	0.379358769	L3_P04_25	2.18	2.18E-06	3.50E-05	1.74E-11	H	0.168215138	0.12939626	7.373992773	3.74E-12	5.99E-05	0.0005	39.9811	0.000462745
L3	P04	5	Night	7.07E-07	1.961565608	33595	277	0.379296116	L3_P04_5	2.19	2.19E-06	3.51E-05	1.75E-11	H	0.168215138	0.12939626	7.400613686	5.23E-12	8.37E-05	0.0006	55.8735	0.000646684
L1	P04	10	Day	4.13E-06	1.951090406	28796	296	0.37396851	L1_P04_10	2.05	2.05E-06	3.29E-05	1.91E-11	H	0.168215138	0.12939626	6.925574294	2.86E-11	4.58E-04	0.0035	305.7979	0.003539328
L3	P04	16	Day	1.01E-06	1.970656422	28796	291	0.369589536	L3_P04_16	2.08	2.08E-06	3.34E-05	1.94E-11	H	0.168215138	0.12939626	7.044570416	7.11E-12	1.14E-04	0.0009	75.9388	0.000878921
L4	P04	6	Day	1.38E-06	1.812967088	27000	292	0.339099509	L4_P04_6	5.4	5.40E-06	8.66E-05	5.38E-11	H	0.12939626	0.12939626	5.400342442	7.43E-12	1.19E-04	0.0009	79.4132	0.000919134
L4	P04	4	Day	6.89E-07	1.773987371	22496	289	0.304643909	L4_P04_4	5.46	5.46E-06	8.76E-05	6.52E-11	H	0.12939626	0.12939626	5.45640136	3.76E-12	6.02E-05	0.0005	40.1695	0.000464925
L1	P04	11	Night	-3.24E-07	2.005373738	43197	272	0.290340176	L1_P04_11	2.23	2.23E-06	3.58E-05	1.39E-11	H	0.168215138	0.12939626	7.536654378	-2.44E-12	-3.91E-05	-0.0003	-26.0916	-0.000301986
L3	P04	14	Day	6.16E-07	2.003465969	14399	285	0.290011858	L3_P04_14	2.13	2.13E-06	3.42E-05	3.98E-11	H	0.168215138	0.12939626	7.192877161	4.43E-12	7.09E-05	0.0005	47.3582	0.000548128
L3	P04	18	Day	4.99E-07	1.962140953	33601	293	0.221865188	L3_P04_18	2.07	2.07E-06	3.32E-05	1.66E-11	H	0.168215138	0.12939626	6.996484611	3.49E-12	5.59E-05	0.0004	37.3307	0.000432068
L3	P04	19	Night	3.57E-07	1.980394609	33599	280	0.201586457	L3_P04_19	2.16	2.16E-06	3.46E-05	1.73E-11	H	0.168215138	0.12939626	7.321321396	2.61E-12	4.18E-05	0.0003	27.9077	0.000323006
L2	P04	9	Night	4.14E-07	1.959815475	28803	279	0.194335774	L2_P04_9	2.17	2.17E-06	3.48E-05	2.03E-11	H	0.168215138	0.12939626	7.347562691	3.04E-12	4.86E-05	0.0004	32.4746	0.000375864
L3	P04	3	Night	-2.41E-07	1.948703943	38395	283	0.184356089	L3_P04_3	2.14	2.14E-06	3.43E-05	1.50E-11	H	0.168215138	0.12939626	7.243710215	-1.74E-12	-2.79E-05	-0.0002	-18.6168	-0.000215472
L3	P04	20	Day	-2.55E-07	1.983940581	33596	291	0.17555778	L3_P04_20	2.08	2.08E-06	3.34E-05	1.66E-11	H	0.168215138	0.12939626	7.044570416	-1.80E-12	-2.88E-05	-0.0002	-19.2193	-0.000222446
L3	P04	9	Night	-2.22E-07	2.007979046	38399	283	0.106751314	L3_P04_9	2.14	2.14E-06	3.43E-05	1.50E-11	H	0.168215138	0.12939626	7.243710215	-1.61E-12	-2.57E-05	-0.0002	-17.1581	-0.000198589
L1	P04	0	Day	-2.47E-06	2.059197369	28001	289	0.105040147	L1_P04_0	2.1	2.10E-06	3.37E-05	2.02E-11	H	0.168215138	0.12939626	7.093321768	-1.75E-11	-2.81E-04	-0.0022	-187.3448	-0.002168343
L4	P04	12	Day	2.19E-06	1.79203499	31495	303	0.079009084	L4_P04_12	5.21	5.21E-06	8.36E-05	4.45E-11	H	0.12939626	0.12939626	5.204290406	1.14E-11	1.82E-04	0.0014	121.6437	0.001407913
L3	P04	7	Night	3.12E-07	1.976127099	33604	278	0.078308796	L3_P04_7	2.18	2.18E-06	3.50E-05	1.74E-11	H	0.168215138	0.12939626	7.373992773	2.30E-12	3.68E-05	0.0003	24.5576	0.000284231
L2	P04	1	Night	2.44E-07	1.962018595	28804	280	0.049576289	L2_P04_1	2.16	2.16E-06	3.46E-05	2.02E-11	H	0.168215138	0.12939626	7.321321396	1.79E-12	2.86E-05	0.0002	19.0862	0.000220905
L1	P04	9	Night	-2.13E-07	1.964190422	28795	271	0.04009384	L1_P04_9	2.24	2.24E-06	3.59E-05	2.09E-11	H	0.168215138	0.12939626	7.564464911	-1.61E-12	-2.58E-05	-0.0002	-17.2335	-0.000199461
